NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
UPPER INDRAVATI,642.0,639.44,1.456,1.179,2016-10-27,81,54,77,128,600,,
UPPER INDRAVATI,642.0,637.66,1.456,1.005,2020-12-16,69,87,72,128.0,600.0,,
UPPER INDRAVATI,642.0,630.71,1.456,0.393,2015-07-23,27,35,26,128,600,,
UPPER INDRAVATI,642.0,640.98,1.456,1.342,2018-10-03,92,58,72,128,600,,
UPPER INDRAVATI,642.0,629.6,1.456,0.308,2017-06-08,21,25,15,128,600,,
UPPER INDRAVATI,642.0,634.38,1.456,0.695,2021-03-25,48,61,52,128.0,600.0,,
UPPER INDRAVATI,642.0,638.95,1.456,1.131,2020-02-06,78,63,63,128.0,600.0,,
UPPER INDRAVATI,642.0,635.14,1.456,0.76,2017-08-31,52,63,63,128,600,,
UPPER INDRAVATI,642.0,637.16,1.456,0.957,2023-10-26,66.0,78.0,76.0,128.0,600.0,,
UPPER INDRAVATI,642.0,631.46,1.456,0.455,2016-05-12,31,44,25,128,600,,
UPPER INDRAVATI,642.0,628.99,1.456,0.267,2018-05-30,18,25,18,128,600,,
UPPER INDRAVATI,642.0,639.0,1.456,1.136,2016-12-22,78,51,71,128,600,,
UPPER INDRAVATI,642.0,631.52,1.456,0.46,2021-11-25,32.0,68.0,71.0,128.0,600.0,,
UPPER INDRAVATI,642.0,629.37,1.456,0.291,2022-06-09,20.0,23.0,21.0,128.0,600.0,,
UPPER INDRAVATI,642.0,637.92,1.456,1.031,2022-08-18,71.0,29.0,59.0,128.0,600.0,,
UPPER INDRAVATI,642.0,631.32,1.456,0.443,2021-11-17,30.0,68.0,67.0,128.0,600.0,,
UPPER INDRAVATI,642.0,640.06,1.456,1.24,2022-08-25,85.0,32.0,60.0,128.0,600.0,,
UPPER INDRAVATI,642.0,631.48,1.456,0.456,2023-09-06,31.0,89.0,70.0,128.0,600.0,,
UPPER INDRAVATI,642.0,629.64,1.456,0.31,2018-05-23,21,28,22,128,600,,
UPPER INDRAVATI,642.0,630.91,1.456,0.409,2020-07-22,28,26,27,128.0,600.0,,
UPPER INDRAVATI,642.0,634.87,1.456,0.735,2015-12-03,50,87,75,128,600,,
