NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
UPPER KOLAB,858.0,856.7,0.935,0.812,2016-10-27,87,81,69,89,320,18.7889976,82.6012044563014
UPPER KOLAB,858.0,852.52,0.935,0.465,2020-12-16,50,88,72,89.0,320.0,18.7889976,82.6012044563014
UPPER KOLAB,858.0,851.12,0.935,0.36,2015-07-22,39,39,21,89,320,18.7889976,82.6012044563014
UPPER KOLAB,858.0,857.06,0.935,0.846,2018-10-03,90,51,61,89,320,18.7889976,82.6012044563014
UPPER KOLAB,858.0,848.95,0.935,0.226,2017-06-08,24,19,13,89,320,18.7889976,82.6012044563014
UPPER KOLAB,858.0,848.34,0.935,0.196,2021-03-25,21,57,49,89.0,320.0,18.7889976,82.6012044563014
UPPER KOLAB,858.0,855.52,0.935,0.7,2020-02-06,75,62,55,89.0,320.0,18.7889976,82.6012044563014
UPPER KOLAB,858.0,851.67,0.935,0.401,2017-08-31,43,62,47,89,320,18.7889976,82.6012044563014
UPPER KOLAB,858.0,855.9,0.935,0.736,2023-10-26,79.0,78.0,78.0,89.0,320.0,18.7889976,82.6012044563014
UPPER KOLAB,858.0,848.92,0.935,0.224,2016-05-11,24,47,22,89,320,18.7889976,82.6012044563014
UPPER KOLAB,858.0,847.84,0.935,0.171,2018-05-30,18,27,16,89,320,18.7889976,82.6012044563014
UPPER KOLAB,858.0,856.42,0.935,0.785,2016-12-21,84,81,60,89,320,18.7889976,82.6012044563014
UPPER KOLAB,858.0,851.9,0.935,0.418,2021-11-25,45.0,51.0,65.0,89.0,320.0,18.7889976,82.6012044563014
UPPER KOLAB,858.0,845.29,0.935,0.049,2022-06-09,5.0,9.0,19.0,89.0,320.0,18.7889976,82.6012044563014
UPPER KOLAB,858.0,850.77,0.935,0.334,2022-08-18,36.0,14.0,39.0,89.0,320.0,18.7889976,82.6012044563014
UPPER KOLAB,858.0,851.8,0.935,0.412,2021-11-17,44.0,52.0,66.0,89.0,320.0,18.7889976,82.6012044563014
UPPER KOLAB,858.0,852.02,0.935,0.428,2022-08-25,46.0,16.0,41.0,89.0,320.0,18.7889976,82.6012044563014
UPPER KOLAB,858.0,851.58,0.935,0.395,2023-09-06,42.0,50.0,50.0,89.0,320.0,18.7889976,82.6012044563014
UPPER KOLAB,858.0,848.25,0.935,0.191,2018-05-23,20,30,15,89,320,18.7889976,82.6012044563014
UPPER KOLAB,858.0,848.08,0.935,0.183,2020-07-22,20,15,20,89.0,320.0,18.7889976,82.6012044563014
UPPER KOLAB,858.0,855.99,0.935,0.745,2015-12-02,80,89,63,89,320,18.7889976,82.6012044563014
UPPER KOLAB,858.0,851.54,0.935,0.392,2021-01-21,42,81,70,89.0,320.0,18.7889976,82.6012044563014
UPPER KOLAB,858.0,846.23,0.935,0.093,2021-08-05,10,17,27,89.0,320.0,18.7889976,82.6012044563014
UPPER KOLAB,858.0,856.07,0.935,0.753,2015-12-17,81,87,65,89,320,18.7889976,82.6012044563014
UPPER KOLAB,858.0,848.81,0.935,0.216,2021-03-18,23,59,52,89.0,320.0,18.7889976,82.6012044563014
UPPER KOLAB,858.0,850.67,0.935,0.326,2017-08-24,35,61,44,89,320,18.7889976,82.6012044563014
UPPER KOLAB,858.0,856.7,0.935,0.812,2018-10-11,87,58,57,89,320,18.7889976,82.6012044563014
UPPER KOLAB,858.0,850.05,0.935,0.281,2023-05-04,30.0,8.0,30.0,89.0,320.0,18.7889976,82.6012044563014
UPPER KOLAB,858.0,856.13,0.935,0.759,2024-01-04,81.0,74.0,62.0,89.0,320.0,18.7889976,82.6012044563014
UPPER KOLAB,858.0,850.5,0.935,0.315,2016-07-27,34,38,33,89,320,18.7889976,82.6012044563014
UPPER KOLAB,858.0,849.64,0.935,0.259,2016-07-13,28,41,20,89,320,18.7889976,82.6012044563014
UPPER KOLAB,858.0,851.35,0.935,0.378,2020-09-24,40,82,74,89,320.0,18.7889976,82.6012044563014
UPPER KOLAB,858.0,848.56,0.935,0.208,2020-07-09,22,14,16,89.0,320.0,18.7889976,82.6012044563014
UPPER KOLAB,858.0,854.26,0.935,0.595,2016-02-17,64,72,51,89,320,18.7889976,82.6012044563014
UPPER KOLAB,858.0,856.04,0.935,0.75,2023-10-19,80.0,78.0,82.0,89.0,320.0,18.7889976,82.6012044563014
UPPER KOLAB,858.0,849.34,0.935,0.244,2016-05-04,26,50,29,89,320,18.7889976,82.6012044563014
UPPER KOLAB,858.0,850.89,0.935,0.343,2019-04-10,37,34,37,89,320,18.7889976,82.6012044563014
UPPER KOLAB,858.0,845.36,0.935,0.05,2022-06-22,5.0,11.0,16.0,89.0,320.0,18.7889976,82.6012044563014
UPPER KOLAB,858.0,856.36,0.935,0.78,2016-12-07,83,80,61,89,320,18.7889976,82.6012044563014
UPPER KOLAB,858.0,851.22,0.935,0.368,2019-04-03,39,35,38,89,320,18.7889976,82.6012044563014
UPPER KOLAB,858.0,846.32,0.935,0.097,2021-06-16,10,25,17,89.0,320.0,18.7889976,82.6012044563014
