NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
UPPER TAPI,214.0,214.0,0.255,0.255,2016-10-26,100,100,100,45,-,75.9455855678535,21.0723975874634
UPPER TAPI,214.0,213.75,0.255,0.24,2020-12-17,94,100,90,45.0,0.0,75.9455855678535,21.0723975874634
UPPER TAPI,214.0,211.28,0.255,0.114,2015-07-22,45,31,37,45,-,75.9455855678535,21.0723975874634
UPPER TAPI,214.0,213.98,0.255,0.254,2018-10-04,100,99,97,45,-,75.9455855678535,21.0723975874634
UPPER TAPI,214.0,208.38,0.255,0.017,2017-06-08,7,0,15,45,-,75.9455855678535,21.0723975874634
UPPER TAPI,214.0,211.69,0.255,0.133,2021-03-25,52,67,55,45.0,0.0,75.9455855678535,21.0723975874634
UPPER TAPI,214.0,213.55,0.255,0.228,2020-02-06,89,53,72,45.0,0.0,75.9455855678535,21.0723975874634
UPPER TAPI,214.0,211.59,0.255,0.128,2017-08-30,50,65,55,45,-,75.9455855678535,21.0723975874634
UPPER TAPI,214.0,214.0,0.255,0.255,2023-10-26,100.0,100.0,100.0,45.0,0.0,75.9455855678535,21.0723975874634
UPPER TAPI,214.0,208.75,0.255,0.027,2016-05-11,11,73,35,45,-,75.9455855678535,21.0723975874634
UPPER TAPI,214.0,207.89,0.255,0.005,2018-05-31,2,9,19,45,-,75.9455855678535,21.0723975874634
UPPER TAPI,214.0,213.55,0.255,0.234,2016-12-21,92,80,90,45,-,75.9455855678535,21.0723975874634
UPPER TAPI,214.0,214.0,0.255,0.255,2021-11-25,100.0,100.0,96.0,45.0,0.0,75.9455855678535,21.0723975874634
UPPER TAPI,214.0,210.17,0.255,0.069,2022-06-09,27.0,17.0,16.0,45.0,0.0,75.9455855678535,21.0723975874634
UPPER TAPI,214.0,209.83,0.255,0.057,2022-08-18,22.0,22.0,35.0,45.0,0.0,75.9455855678535,21.0723975874634
UPPER TAPI,214.0,214.0,0.255,0.255,2021-11-17,100.0,100.0,98.0,45.0,0.0,75.9455855678535,21.0723975874634
UPPER TAPI,214.0,210.05,0.255,0.063,2022-08-25,25.0,30.0,46.0,45.0,0.0,75.9455855678535,21.0723975874634
UPPER TAPI,214.0,213.06,0.255,0.202,2023-09-06,79.0,71.0,64.0,45.0,0.0,75.9455855678535,21.0723975874634
UPPER TAPI,214.0,208.14,0.255,0.011,2018-05-23,4,12,25,45,-,75.9455855678535,21.0723975874634
UPPER TAPI,214.0,209.51,0.255,0.047,2020-07-23,18,21,33,45.0,0.0,75.9455855678535,21.0723975874634
UPPER TAPI,214.0,213.48,0.255,0.224,2015-12-02,88,97,96,45,-,75.9455855678535,21.0723975874634
UPPER TAPI,214.0,213.01,0.255,0.199,2021-01-20,78,96,80,45.0,0.0,75.9455855678535,21.0723975874634
UPPER TAPI,214.0,208.94,0.255,0.032,2021-08-05,13,16,25,45.0,0.0,75.9455855678535,21.0723975874634
UPPER TAPI,214.0,213.2,0.255,0.209,2015-12-17,82,93,93,45,-,75.9455855678535,21.0723975874634
UPPER TAPI,214.0,211.8,0.255,0.138,2021-03-18,54,68,57,45.0,0.0,75.9455855678535,21.0723975874634
UPPER TAPI,214.0,211.47,0.255,0.123,2017-08-23,48,58,58,45,-,75.9455855678535,21.0723975874634
UPPER TAPI,214.0,214.0,0.255,0.255,2018-10-11,100,99,98,45,-,75.9455855678535,21.0723975874634
UPPER TAPI,214.0,211.77,0.255,0.137,2023-05-03,54.0,49.0,32.0,45.0,0.0,75.9455855678535,21.0723975874634
UPPER TAPI,214.0,214.0,0.255,0.255,2023-12-28,100.0,99.0,91.0,45.0,0.0,75.9455855678535,21.0723975874634
UPPER TAPI,214.0,209.5,0.255,0.047,2016-07-27,18,30,31,45,-,75.9455855678535,21.0723975874634
UPPER TAPI,214.0,210.83,0.255,0.094,2016-07-13,37,24,30,45,-,75.9455855678535,21.0723975874634
UPPER TAPI,214.0,212.82,0.255,0.186,2020-09-24,73,77,78,45,0.0,75.9455855678535,21.0723975874634
UPPER TAPI,214.0,209.52,0.255,0.047,2020-07-09,18,12,24,45.0,0.0,75.9455855678535,21.0723975874634
UPPER TAPI,214.0,211.56,0.255,0.127,2016-02-17,50,95,72,45,-,75.9455855678535,21.0723975874634
UPPER TAPI,214.0,214.0,0.255,0.255,2023-10-19,100.0,100.0,100.0,45.0,0.0,75.9455855678535,21.0723975874634
UPPER TAPI,214.0,208.89,0.255,0.031,2016-05-04,12,76,39,45,-,75.9455855678535,21.0723975874634
