NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
UPPER VAITARNA,603.5,603.49,0.331,0.331,2016-10-27,100,70,92,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,603.2,0.331,0.323,2020-12-17,98,94,88,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,594.91,0.331,0.089,2015-07-16,27,20,44,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,603.26,0.331,0.325,2018-10-04,98,100,93,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,594.73,0.331,0.086,2017-06-08,26,29,29,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,599.75,0.331,0.214,2021-03-25,65,51,58,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,600.65,0.331,0.238,2020-02-06,72,71,72,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,603.29,0.331,0.325,2017-08-30,98,96,85,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,603.44,0.331,0.33,2023-10-26,100.0,100.0,95.0,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,595.37,0.331,0.101,2016-05-11,31,29,37,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,594.83,0.331,0.088,2018-05-31,27,30,31,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,602.65,0.331,0.304,2016-12-21,92,56,85,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,603.37,0.331,0.327,2021-11-25,99.0,99.0,91.0,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,595.03,0.331,0.092,2022-06-09,28.0,24.0,26.0,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,603.05,0.331,0.317,2022-08-18,96.0,81.0,82.0,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,603.4,0.331,0.328,2021-11-18,99.0,99.0,92.0,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,603.32,0.331,0.326,2022-08-25,98.0,83.0,85.0,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,602.0,0.331,0.284,2023-09-06,86.0,99.0,93.0,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,594.94,0.331,0.09,2018-05-23,27,32,33,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,596.25,0.331,0.123,2020-07-23,37,40,54,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,599.36,0.331,0.203,2015-12-02,61,76,92,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,602.89,0.331,0.312,2021-01-21,94,80,81,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,601.02,0.331,0.25,2021-08-05,76,45,76,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,598.9,0.331,0.189,2015-12-17,57,69,91,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,600.44,0.331,0.232,2021-03-18,70,51,60,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,603.06,0.331,0.318,2017-08-23,96,94,81,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,603.24,0.331,0.324,2018-10-10,98,100,92,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,597.5,0.331,0.153,2023-05-04,46.0,37.0,37.0,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,603.08,0.331,0.318,2024-01-04,96.0,97.0,86.0,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,599.36,0.331,0.203,2016-07-27,61,5,47,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,598.17,0.331,0.168,2016-07-13,51,27,37,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,603.47,0.331,0.33,2020-09-24,100,99,95,0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,594.66,0.331,0.085,2020-07-09,26,12,31,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,597.09,0.331,0.143,2016-02-17,43,66,73,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,603.47,0.331,0.33,2023-10-19,100.0,100.0,96.0,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,595.43,0.331,0.103,2016-05-04,31,31,40,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,597.12,0.331,0.143,2019-04-10,43,38,47,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,594.83,0.331,0.088,2022-06-23,27.0,18.0,22.0,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,602.99,0.331,0.315,2016-12-07,95,60,88,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,597.51,0.331,0.153,2019-04-04,46,41,53,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,593.34,0.331,0.066,2021-06-17,20,27,25,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,594.73,0.331,0.086,2021-06-03,26,27,30,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,596.83,0.331,0.137,2017-04-26,41,33,43,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,597.03,0.331,0.141,2016-02-24,43,66,70,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,601.28,0.331,0.26,2021-08-12,79,56,81,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,600.5,0.331,0.226,2024-03-14,68.0,77.0,63.0,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,599.42,0.331,0.205,2024-03-28,62.0,68.0,56.0,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,593.43,0.331,0.068,2017-06-21,21,27,26,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,603.2,0.331,0.323,2023-12-20,98.0,98.0,86.0,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,603.05,0.331,0.317,2024-01-11,96.0,97.0,84.0,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,596.94,0.331,0.139,2023-05-11,42.0,34.0,34.0,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,594.91,0.331,0.089,2015-07-08,27,22,39,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,600.56,0.331,0.236,2015-09-29,71,100,95,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,601.0,0.331,0.25,2019-01-24,76,80,76,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,602.64,0.331,0.303,2019-08-14,92,87,79,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,603.5,0.331,0.331,2017-11-01,100,100,92,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,603.4,0.331,0.328,2017-11-15,99,99,90,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,599.25,0.331,0.2,2022-03-17,60.0,71.0,63.0,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,603.5,0.331,0.331,2019-11-21,100,91,89,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,595.02,0.331,0.092,2020-05-21,28,22,33,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,600.43,0.331,0.231,2015-10-28,70,92,95,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,600.67,0.331,0.238,2015-10-14,72,98,96,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,602.12,0.331,0.287,2018-12-13,87,98,87,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,597.47,0.331,0.152,2024-04-25,46.0,52.0,41.0,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,597.07,0.331,0.142,2020-07-30,43,61,62,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,603.41,0.331,0.329,2022-11-17,99.0,99.0,92.0,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,599.02,0.331,0.193,2017-03-16,58,42,60,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,600.09,0.331,0.222,2017-03-01,67,42,65,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,599.15,0.331,0.197,2015-12-09,60,73,92,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,603.47,0.331,0.33,2022-11-03,100.0,100.0,3.0,0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,603.47,0.331,0.33,2023-09-27,100.0,100.0,97.0,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,603.11,0.331,0.319,2022-01-06,96.0,96.0,83.0,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,602.76,0.331,0.307,2022-01-13,93.0,96.0,81.0,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,603.44,0.331,0.33,2020-10-01,100,100,95,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,602.8,0.331,0.309,2023-09-14,93.0,99.0,95.0,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,603.47,0.331,0.33,2020-10-15,100,100,96,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,603.47,0.331,0.33,2020-10-29,100,100,95,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,598.49,0.331,0.177,2019-03-20,53,50,56,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,595.17,0.331,0.096,2021-05-27,29,27,32,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,597.99,0.331,0.164,2024-04-18,50.0,56.0,43.0,0.0,61.0,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,602.19,0.331,0.289,2018-12-06,87,98,88,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,603.35,0.331,0.327,2016-09-14,99,66,91,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,602.09,0.331,0.286,2017-01-11,86,50,80,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,603.09,0.331,0.319,2016-08-31,96,65,85,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,603.49,0.331,0.331,2016-09-28,100,71,93,-,61,19.8418518,73.4785663976234
UPPER VAITARNA,603.5,603.5,0.331,0.331,2016-10-19,100,72,93,-,61,19.8418518,73.4785663976234
