NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
UPPER WARDHA,342.5,342.5,0.564,0.564,2016-10-27,100,92,92,70,-,20.9411536,77.773286825
UPPER WARDHA,342.5,341.69,0.564,0.493,2020-12-17,87,88,74,70.0,0.0,20.9411536,77.773286825
UPPER WARDHA,342.5,338.81,0.564,0.282,2015-07-23,50,54,46,70,-,20.9411536,77.773286825
UPPER WARDHA,342.5,339.0,0.564,0.294,2018-10-04,52,100,93,70,-,20.9411536,77.773286825
UPPER WARDHA,342.5,337.41,0.564,0.201,2017-06-08,36,21,29,70,-,20.9411536,77.773286825
UPPER WARDHA,342.5,339.11,0.564,0.301,2021-03-25,53,58,40,70.0,0.0,20.9411536,77.773286825
UPPER WARDHA,342.5,340.73,0.564,0.416,2020-02-06,74,24,53,70.0,0.0,20.9411536,77.773286825
UPPER WARDHA,342.5,339.52,0.564,0.328,2017-08-31,58,98,84,70,-,20.9411536,77.773286825
UPPER WARDHA,342.5,342.42,0.564,0.557,2023-10-26,99.0,100.0,93.0,70.0,0.0,20.9411536,77.773286825
UPPER WARDHA,342.5,336.04,0.564,0.132,2016-05-12,23,33,35,70,-,20.9411536,77.773286825
UPPER WARDHA,342.5,337.37,0.564,0.198,2018-05-31,35,36,30,70,-,20.9411536,77.773286825
UPPER WARDHA,342.5,340.84,0.564,0.424,2016-12-22,75,62,73,70,-,20.9411536,77.773286825
UPPER WARDHA,342.5,342.17,0.564,0.534,2021-11-25,95.0,96.0,85.0,70.0,0.0,20.9411536,77.773286825
UPPER WARDHA,342.5,338.45,0.564,0.26,2022-06-09,46.0,43.0,31.0,70.0,0.0,20.9411536,77.773286825
UPPER WARDHA,342.5,341.89,0.564,0.51,2022-08-18,90.0,61.0,73.0,70.0,0.0,20.9411536,77.773286825
UPPER WARDHA,342.5,342.37,0.564,0.553,2021-11-18,98.0,99.0,87.0,70.0,0.0,20.9411536,77.773286825
UPPER WARDHA,342.5,341.91,0.564,0.511,2022-08-25,91.0,70.0,75.0,70.0,0.0,20.9411536,77.773286825
UPPER WARDHA,342.5,341.99,0.564,0.518,2023-09-06,92.0,97.0,86.0,70.0,0.0,20.9411536,77.773286825
UPPER WARDHA,342.5,337.49,0.564,0.205,2018-05-24,36,37,31,70,-,20.9411536,77.773286825
UPPER WARDHA,342.5,340.32,0.564,0.385,2020-07-22,68,11,43,70.0,0.0,20.9411536,77.773286825
UPPER WARDHA,342.5,340.68,0.564,0.412,2015-12-03,73,80,85,70,-,20.9411536,77.773286825
UPPER WARDHA,342.50,342.5,0.564,0.564,2022-11-10,100.0,100.0,0.0,70,0.0,20.9411536,77.773286825
UPPER WARDHA,342.5,340.72,0.564,0.415,2021-01-21,74,80,61,70.0,0.0,20.9411536,77.773286825
UPPER WARDHA,342.5,339.6,0.564,0.334,2021-08-05,59,80,60,70.0,0.0,20.9411536,77.773286825
UPPER WARDHA,342.5,340.05,0.564,0.365,2015-12-17,65,71,79,70,-,20.9411536,77.773286825
UPPER WARDHA,342.5,339.16,0.564,0.304,2021-03-18,54,60,41,70.0,0.0,20.9411536,77.773286825
UPPER WARDHA,342.5,338.44,0.564,0.259,2017-08-24,46,94,79,70,-,20.9411536,77.773286825
UPPER WARDHA,342.5,338.93,0.564,0.289,2018-10-11,51,100,94,70,-,20.9411536,77.773286825
UPPER WARDHA,342.5,338.58,0.564,0.268,2023-05-04,48.0,52.0,46.0,70.0,0.0,20.9411536,77.773286825
UPPER WARDHA,342.5,341.1,0.564,0.445,2024-01-04,79.0,78.0,69.0,70.0,0.0,20.9411536,77.773286825
UPPER WARDHA,342.5,341.24,0.564,0.456,2016-07-28,81,54,54,70,-,20.9411536,77.773286825
UPPER WARDHA,342.5,338.99,0.564,0.293,2016-07-13,52,51,40,70,-,20.9411536,77.773286825
UPPER WARDHA,342.5,342.5,0.564,0.564,2020-09-23,100,100,94,70,0.0,20.9411536,77.773286825
UPPER WARDHA,342.5,339.36,0.564,0.317,2020-07-09,56,12,34,70.0,0.0,20.9411536,77.773286825
UPPER WARDHA,342.5,337.6,0.564,0.211,2016-02-18,37,44,52,70,-,20.9411536,77.773286825
UPPER WARDHA,342.5,342.5,0.564,0.564,2023-10-19,100.0,100.0,94.0,70.0,0.0,20.9411536,77.773286825
