NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
URMODI,696.0,695.84,0.273,0.271,2020-12-17,99,100,87,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,692.59,0.273,0.221,2021-03-25,81,86,69,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,695.4,0.273,0.264,2020-02-06,97,44,75,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,687.89,0.273,0.157,2023-10-26,58.0,100.0,96.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,695.77,0.273,0.27,2021-11-25,99.0,100.0,94.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,686.01,0.273,0.134,2022-06-09,49.0,58.0,52.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,694.96,0.273,0.257,2022-08-18,94.0,83.0,92.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,695.8,0.273,0.27,2021-11-11,99.0,100.0,95.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,695.4,0.273,0.264,2022-08-25,97.0,85.0,93.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,687.96,0.273,0.159,2023-09-06,58.0,95.0,95.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,689.33,0.273,0.176,2020-07-23,64,42,64,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,695.35,0.273,0.263,2021-01-21,96,98,79,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,691.84,0.273,0.21,2021-08-05,77,70,86,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,693.18,0.273,0.23,2021-03-18,84,86,71,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,685.67,0.273,0.131,2023-05-04,48.0,66.0,62.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,689.99,0.273,0.146,2024-01-04,53.0,92.0,89.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,695.8,0.273,0.27,2020-09-24,99,100,92,37,3.0,17.5957614,74.0240805
URMODI,696.0,687.69,0.273,0.155,2020-07-09,57,21,47,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,687.84,0.273,0.156,2023-10-19,57.0,100.0,96.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,684.42,0.273,0.118,2022-06-23,43.0,63.0,51.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,687.96,0.273,0.158,2021-06-17,58,56,47,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,687.91,0.273,0.157,2021-06-03,58,60,49,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,692.6,0.273,0.221,2021-08-12,81,86,90,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,680.04,0.273,0.074,2024-03-14,27.0,71.0,75.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,677.33,0.273,0.052,2024-03-28,19.0,65.0,71.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,687.16,0.273,0.148,2023-12-21,54.0,94.0,92.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,686.93,0.273,0.145,2024-01-11,53.0,92.0,86.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,684.78,0.273,0.121,2023-05-11,44.0,63.0,55.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,695.27,0.273,0.262,2019-08-14,96,90,89,37,3,17.5957614,74.0240805
URMODI,696.0,692.76,0.273,0.224,2022-03-17,82.0,84.0,74.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,696.0,0.273,0.273,2019-11-21,100,74,89,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,689.83,0.273,0.182,2020-05-21,67,21,51,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,673.4,0.273,0.027,2024-04-25,10.0,51.0,60.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,689.59,0.273,0.179,2020-07-30,66,57,74,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,696.0,0.273,0.273,2022-11-17,100.0,99.0,95.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,687.49,0.273,0.152,2023-09-29,56.0,100.0,96.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,695.8,0.273,0.27,2022-01-06,99.0,97.0,86.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,695.78,0.273,0.27,2022-01-13,99.0,97.0,85.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,695.95,0.273,0.272,2020-10-01,100,100,93,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,687.52,0.273,0.153,2023-09-14,56.0,99.0,95.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,695.89,0.273,0.272,2020-10-15,100,100,93,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,696.0,0.273,0.273,2020-10-29,100,100,92,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,688.08,0.273,0.159,2021-05-27,58,64,51,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,675.99,0.273,0.041,2024-04-18,15.0,55.0,63.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,692.6,0.273,0.221,2023-02-09,81.0,93.0,81.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,695.58,0.273,0.267,2019-08-29,98,98,90,37,3,17.5957614,74.0240805
URMODI,696.0,691.19,0.273,0.201,2023-02-23,74.0,89.0,78.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,690.53,0.273,0.192,2021-04-15,70,82,63,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,691.86,0.273,0.21,2021-04-01,77,85,67,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,689.09,0.273,0.173,2021-04-29,63,77,59,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,681.14,0.273,0.084,2024-03-07,31.0,72.0,76.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,687.81,0.273,0.156,2021-06-10,57,59,48,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,681.86,0.273,0.091,2023-07-13,33.0,57.0,56.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,683.59,0.273,0.109,2022-06-30,40.0,62.0,52.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,680.22,0.273,0.076,2023-07-06,28.0,40.0,49.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,688.98,0.273,0.171,2021-07-22,63,64,67,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,688.53,0.273,0.165,2023-08-24,60.0,97.0,94.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,695.91,0.273,0.272,2019-09-19,100,95,92,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,695.95,0.273,0.272,2019-10-10,100,86,93,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,693.53,0.273,0.235,2020-03-19,86,40,69,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,694.91,0.273,0.256,2022-12-22,94.0,100.0,90.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,695.94,0.273,0.272,2021-12-16,100.0,99.0,91.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,695.91,0.273,0.272,2021-12-02,100.0,100.0,93.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,688.88,0.273,0.171,2022-05-12,63.0,59.0,60.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,682.73,0.273,0.1,2023-06-08,37.0,49.0,48.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,695.39,0.273,0.264,2021-10-07,97,100,96,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,688.36,0.273,0.163,2023-08-31,60.0,97.0,95.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,695.78,0.273,0.27,2020-01-09,99,53,80,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,684.12,0.273,0.114,2024-02-08,42.0,81.0,82.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,683.05,0.273,0.103,2024-02-22,38.0,74.0,79.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,693.81,0.273,0.239,2020-08-13,88,95,89,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,695.21,0.273,0.261,2021-09-30,96,100,96,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,695.59,0.273,0.267,2020-01-23,98,48,77,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,680.62,0.273,0.079,2023-06-22,29.0,43.0,47.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,696.0,0.273,0.273,2020-11-26,100,100,90,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,695.93,0.273,0.272,2019-09-26,100,92,92,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,686.4,0.273,0.139,2023-04-27,51.0,70.0,60.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,695.45,0.273,0.265,2022-12-08,97.0,100.0,93.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,694.21,0.273,0.245,2021-02-11,90,96,77,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,693.41,0.273,0.233,2020-03-26,85,36,67,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,694.43,0.273,0.249,2021-02-04,91,97,78,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,694.05,0.273,0.243,2022-02-24,89.0,88.0,78.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,689.68,0.273,0.18,2022-05-05,66.0,61.0,62.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,690.34,0.273,0.189,2022-07-28,69.0,74.0,74.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,687.75,0.273,0.156,2022-07-14,57.0,56.0,59.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,691.26,0.273,0.202,2020-08-06,74,92,85,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,687.93,0.273,0.158,2021-07-08,58,56,51,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,671.19,0.273,0.016,2024-05-16,6.0,42.0,53.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,672.6,0.273,0.022,2024-05-02,8.0,48.0,62.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,695.98,0.273,0.273,2022-10-20,100.0,99.0,96.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,692.86,0.273,0.225,2021-09-09,82,99,95,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,695.92,0.273,0.272,2022-09-15,100.0,91.0,95.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,695.72,0.273,0.269,2021-10-14,99,100,96,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,694.5,0.273,0.25,2023-01-12,92.0,99.0,86.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,687.84,0.273,0.156,2022-09-01,57.0,84.0,94.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,695.98,0.273,0.273,2022-09-29,100.0,95.0,96.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,695.78,0.273,0.27,2021-10-28,99.0,100.0,96.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,693.26,0.273,0.231,2020-04-02,85,33,65,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,692.89,0.273,0.225,2020-04-16,82,27,60,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,688.17,0.273,0.161,2021-05-20,59,67,53,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,696.0,0.273,0.273,2019-10-17,100,84,93,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,695.94,0.273,0.272,2019-10-03,100,90,92,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,690.65,0.273,0.194,2023-03-16,71.0,82.0,74.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,690.91,0.273,0.197,2023-03-02,72.0,88.0,77.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,687.65,0.273,0.154,2023-11-02,56.0,100.0,96.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,687.6,0.273,0.154,2023-11-16,56.0,100.0,96.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,696.0,0.273,0.273,2019-12-12,100,66,86,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,688.53,0.273,0.165,2020-06-04,60,21,44,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,694.6,0.273,0.251,2023-01-05,92.0,99.0,88.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,683.85,0.273,0.112,2022-07-07,41.0,58.0,55.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,679.69,0.273,0.071,2023-06-29,26.0,40.0,50.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,687.25,0.273,0.149,2023-04-20,55.0,73.0,63.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,688.06,0.273,0.159,2020-06-11,58,21,42,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,695.43,0.273,0.264,2020-01-30,97,45,76,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,695.0,0.273,0.258,2021-09-23,95,99,96,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,696.0,0.273,0.273,2019-12-05,100,68,87,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,671.25,0.273,0.017,2024-05-09,6.0,44.0,55.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,695.92,0.273,0.272,2022-10-13,100.0,99.0,97.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,687.38,0.273,0.151,2023-11-30,55.0,98.0,94.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,687.5,0.273,0.152,2022-05-26,56.0,58.0,56.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,695.99,0.273,0.273,2019-10-31,100,77,91,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,688.48,0.273,0.165,2021-05-06,60,73,57,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,693.79,0.273,0.239,2020-03-05,88,41,71,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,688.12,0.273,0.16,2021-05-13,59,69,55,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,691.71,0.273,0.208,2020-04-30,76,21,56,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,696.0,0.273,0.273,2019-10-24,100,80,92,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,695.93,0.273,0.272,2021-12-22,100.0,99.0,90.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,689.46,0.273,0.177,2023-03-30,65.0,80.0,70.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,695.83,0.273,0.271,2019-09-05,99,99,92,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,696.0,0.273,0.273,2020-11-05,100,100,92,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,688.92,0.273,0.17,2023-08-10,62.0,86.0,89.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,682.0,0.273,0.092,2023-06-15,34.0,46.0,46.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,683.59,0.273,0.109,2023-06-01,40.0,53.0,49.0,37.0,3.0,17.5957614,74.0240805
URMODI,696.0,682.11,0.273,0.093,2024-02-29,34.0,72.0,77.0,37.0,3.0,17.5957614,74.0240805
