NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
VAIGAI,279.2,264.73,0.172,0.005,2016-10-26,3,28,49,61,6,12.99616705,80.2469844265133
VAIGAI,279.2,275.23,0.172,0.095,2020-12-17,55,90,49,61.0,6.0,12.99616705,80.2469844265133
VAIGAI,279.2,273.3,0.172,0.063,2015-07-22,37,6,20,61,6,12.99616705,80.2469844265133
VAIGAI,279.2,275.02,0.172,0.088,2018-10-03,51,29,34,61,6,12.99616705,80.2469844265133
VAIGAI,279.2,265.3,0.172,0.006,2017-06-08,3,6,20,61,6,12.99616705,80.2469844265133
VAIGAI,279.2,277.19,0.172,0.127,2021-03-25,74,27,19,61.0,6.0,12.99616705,80.2469844265133
VAIGAI,279.2,273.16,0.172,0.061,2020-02-06,35,33,28,61.0,6.0,12.99616705,80.2469844265133
VAIGAI,279.2,266.93,0.172,0.011,2017-08-31,6,5,35,61,6,12.99616705,80.2469844265133
VAIGAI,279.2,276.39,0.172,0.112,2023-10-26,65.0,99.0,49.0,61.0,6.0,12.99616705,80.2469844265133
VAIGAI,279.2,267.15,0.172,0.012,2016-05-12,7,12,27,61,6,12.99616705,80.2469844265133
VAIGAI,279.2,268.83,0.172,0.021,2018-05-31,12,5,22,61,6,12.99616705,80.2469844265133
VAIGAI,279.2,264.94,0.172,0.005,2016-12-22,3,77,58,61,6,12.99616705,80.2469844265133
VAIGAI,279.2,278.74,0.172,0.161,2021-11-25,94.0,58.0,49.0,61.0,6.0,12.99616705,80.2469844265133
VAIGAI,279.2,275.93,0.172,0.103,2022-06-09,60.0,78.0,19.0,61.0,6.0,12.99616705,80.2469844265133
VAIGAI,279.2,278.69,0.172,0.16,2022-08-18,93.0,88.0,36.0,61.0,6.0,12.99616705,80.2469844265133
VAIGAI,279.2,278.72,0.172,0.161,2021-11-18,94.0,32.0,47.0,61.0,6.0,12.99616705,80.2469844265133
VAIGAI,279.2,278.9,0.172,0.165,2022-08-25,96.0,79.0,38.0,61.0,6.0,12.99616705,80.2469844265133
VAIGAI,279.2,271.92,0.172,0.046,2023-09-06,27.0,96.0,48.0,61.0,6.0,12.99616705,80.2469844265133
VAIGAI,279.2,268.88,0.172,0.021,2018-05-23,12,5,23,61,6,12.99616705,80.2469844265133
VAIGAI,279.2,267.13,0.172,0.012,2020-07-23,7,5,17,61.0,6.0,12.99616705,80.2469844265133
VAIGAI,279.2,277.64,0.172,0.137,2015-12-02,80,10,62,61,6,12.99616705,80.2469844265133
VAIGAI,.20,278.84,0.172,0.164,2022-11-10,5.0,3.0,51.0,61,6.0,12.99616705,80.2469844265133
VAIGAI,279.2,278.96,0.172,0.167,2021-01-20,97,48,38,61.0,6.0,12.99616705,80.2469844265133
VAIGAI,279.2,278.46,0.172,0.155,2021-08-05,90,6,20,61.0,6.0,12.99616705,80.2469844265133
VAIGAI,279.2,277.41,0.172,0.132,2015-12-17,77,9,57,61,6,12.99616705,80.2469844265133
VAIGAI,279.2,277.24,0.172,0.128,2021-03-18,74,28,20,61.0,6.0,12.99616705,80.2469844265133
VAIGAI,279.2,266.38,0.172,0.009,2017-08-23,5,5,33,61,6,12.99616705,80.2469844265133
VAIGAI,279.2,276.89,0.172,0.121,2018-10-10,70,35,33,61,6,12.99616705,80.2469844265133
VAIGAI,279.2,273.69,0.172,0.068,2023-05-04,40.0,88.0,23.0,61.0,6.0,12.99616705,80.2469844265133
VAIGAI,279.2,278.82,0.172,0.163,2024-01-04,95.0,55.0,44.0,61.0,6.0,12.99616705,80.2469844265133
VAIGAI,279.2,265.92,0.172,0.008,2016-07-28,5,37,25,61,6,12.99616705,80.2469844265133
VAIGAI,279.2,266.11,0.172,0.008,2016-07-13,5,34,22,61,6,12.99616705,80.2469844265133
VAIGAI,279.2,276.61,0.172,0.116,2020-09-24,67,49,36,61,6.0,12.99616705,80.2469844265133
VAIGAI,279.2,267.69,0.172,0.015,2020-07-09,9,6,15,61.0,6.0,12.99616705,80.2469844265133
VAIGAI,279.2,270.83,0.172,0.036,2016-02-18,21,9,32,61,6,12.99616705,80.2469844265133
VAIGAI,279.2,275.08,0.172,0.089,2023-10-19,52.0,97.0,47.0,61.0,6.0,12.99616705,80.2469844265133
VAIGAI,279.2,267.02,0.172,0.012,2016-05-05,7,12,27,61,6,12.99616705,80.2469844265133
VAIGAI,279.2,270.53,0.172,0.033,2019-04-08,19,8,16,61,6,12.99616705,80.2469844265133
VAIGAI,279.2,274.32,0.172,0.077,2022-06-23,45.0,85.0,19.0,61.0,6.0,12.99616705,80.2469844265133
VAIGAI,279.2,264.35,0.172,0.004,2016-12-08,2,75,59,61,6,12.99616705,80.2469844265133
VAIGAI,279.2,270.7,0.172,0.034,2019-04-03,20,8,16,61,6,12.99616705,80.2469844265133
VAIGAI,279.2,277.75,0.172,0.139,2021-06-16,81,12,13,61.0,6.0,12.99616705,80.2469844265133
VAIGAI,279.2,278.13,0.172,0.147,2021-06-02,85,13,15,61.0,6.0,12.99616705,80.2469844265133
VAIGAI,279.2,264.07,0.172,0.004,2017-04-27,2,8,23,61,6,12.99616705,80.2469844265133
VAIGAI,279.2,271.08,0.172,0.038,2016-02-25,22,10,30,61,6,12.99616705,80.2469844265133
VAIGAI,279.2,278.25,0.172,0.15,2021-08-12,87,20,25,61.0,6.0,12.99616705,80.2469844265133
VAIGAI,279.2,277.49,0.172,0.134,2024-03-14,78.0,41.0,30.0,61.0,6.0,12.99616705,80.2469844265133
VAIGAI,279.2,276.6,0.172,0.116,2024-03-28,67.0,42.0,30.0,61.0,6.0,12.99616705,80.2469844265133
VAIGAI,279.2,264.21,0.172,0.004,2017-06-22,2,5,17,61,6,12.99616705,80.2469844265133
VAIGAI,279.2,278.72,0.172,0.161,2023-12-21,94.0,79.0,50.0,61.0,6.0,12.99616705,80.2469844265133
VAIGAI,279.2,279.2,0.172,0.172,2024-01-11,100.0,34.0,40.0,61.0,6.0,12.99616705,80.2469844265133
VAIGAI,279.2,273.71,0.172,0.068,2023-05-11,40.0,86.0,23.0,61.0,6.0,12.99616705,80.2469844265133
VAIGAI,279.2,272.41,0.172,0.052,2015-07-08,30,4,17,61,6,12.99616705,80.2469844265133
VAIGAI,279.2,271.09,0.172,0.038,2015-09-28,22,17,47,61,6,12.99616705,80.2469844265133
VAIGAI,279.2,274.04,0.172,0.073,2019-01-24,42,17,33,61,6,12.99616705,80.2469844265133
VAIGAI,279.2,269.61,0.172,0.026,2019-08-14,15,65,28,61,6,12.99616705,80.2469844265133
VAIGAI,279.2,274.52,0.172,0.08,2017-11-01,47,2,48,61,6,12.99616705,80.2469844265133
VAIGAI,279.2,275.35,0.172,0.093,2017-11-15,54,2,56,61,6,12.99616705,80.2469844265133
VAIGAI,279.2,278.63,0.172,0.159,2022-03-17,92.0,75.0,23.0,61.0,6.0,12.99616705,80.2469844265133
