NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
VANI VILAS SAGAR,652.28,633.87,0.802,0.038,2016-10-26,5,11,16,123,-,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,644.35,0.802,0.314,2020-12-15,39,33,20,123.0,0.0,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,634.21,0.802,0.044,2015-07-16,5,3,13,123,-,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,632.47,0.802,0.02,2018-10-03,2,2,13,123,-,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,632.25,0.802,0.016,2017-06-08,2,6,12,123,-,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,644.18,0.802,0.307,2021-03-25,38,32,15,123.0,0.0,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,643.81,0.802,0.292,2020-02-05,36,3,16,123.0,0.0,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,631.87,0.802,0.012,2017-08-31,1,5,11,123,-,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,649.7,0.802,0.608,2023-10-26,76.0,100.0,25.0,123.0,0.0,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,634.73,0.802,0.053,2016-05-11,7,4,13,123,-,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,631.55,0.802,0.008,2018-05-31,1,2,12,123,-,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,633.47,0.802,0.033,2016-12-22,4,13,19,123,-,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,649.75,0.802,0.629,2021-11-25,78.0,35.0,16.0,123.0,0.0,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,649.5,0.802,0.591,2022-06-09,74.0,32.0,11.0,123.0,0.0,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,651.63,0.802,0.757,2022-08-18,94.0,38.0,10.0,123.0,0.0,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,648.82,0.802,0.546,2021-11-18,68.0,34.0,17.0,123.0,0.0,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,651.74,0.802,0.766,2022-08-25,96.0,40.0,11.0,123.0,0.0,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,650.05,0.802,0.635,2023-09-06,79.0,100.0,17.0,123.0,0.0,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,631.47,0.802,0.007,2018-05-24,1,2,12,123,-,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,638.99,0.802,0.141,2020-07-23,18,1,10,123.0,0.0,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,637.44,0.802,0.104,2015-11-27,13,10,20,123,-,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,652.68,0.802,0.802,2022-11-10,100.0,62.0,1.0,123,0.0,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,644.93,0.802,0.339,2021-01-21,42,37,18,123.0,0.0,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,643.68,0.802,0.286,2021-08-05,36,17,11,123.0,0.0,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,637.46,0.802,0.104,2015-12-17,13,10,20,123,-,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,644.45,0.802,0.319,2021-03-18,40,33,15,123.0,0.0,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,631.93,0.802,0.013,2017-08-22,2,5,11,123,-,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,632.6,0.802,0.022,2018-10-10,3,2,14,123,-,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,650.92,0.802,0.703,2023-05-04,88.0,71.0,16.0,123.0,0.0,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,648.71,0.802,0.54,2024-01-04,67.0,100.0,30.0,123.0,0.0,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,634.3,0.802,0.045,2016-07-28,6,5,12,123,-,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,634.31,0.802,0.045,2016-07-14,6,5,12,123,-,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,640.88,0.802,0.193,2020-09-24,24,1,10,123,0.0,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,639.39,0.802,0.151,2020-07-08,19,1,11,123.0,0.0,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,637.17,0.802,0.097,2016-02-18,12,9,17,123,-,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,649.87,0.802,0.623,2023-10-19,78.0,100.0,22.0,123.0,0.0,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,634.76,0.802,0.054,2016-05-05,7,4,13,123,-,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,632.1,0.802,0.015,2019-04-11,2,1,13,123,-,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,649.43,0.802,0.586,2022-06-23,73.0,31.0,11.0,123.0,0.0,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,633.62,0.802,0.035,2016-12-01,4,13,19,123,-,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,632.2,0.802,0.016,2019-04-01,2,1,13,123,-,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,642.82,0.802,0.253,2021-06-17,32,23,12,123.0,0.0,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,642.61,0.802,0.246,2021-06-03,31,25,12,123.0,0.0,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,632.48,0.802,0.02,2017-04-26,2,7,13,123,-,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,637.14,0.802,0.096,2016-02-25,12,9,16,123,-,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,643.96,0.802,0.297,2021-08-12,37,17,10,123.0,0.0,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,647.78,0.802,0.488,2024-03-14,61.0,94.0,28.0,123.0,0.0,12.2833622,76.6416921
VANI VILAS SAGAR,652.28,647.42,0.802,0.464,2024-03-28,58.0,93.0,27.0,123.0,0.0,12.2833622,76.6416921
