NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
VEER DAM,579.85,576.16,0.266,0.164,2023-10-26,62.0,100.0,88.0,181.3,13.5,18.1321668,74.0973392
VEER DAM,579.85,574.97,0.266,0.138,2022-06-09,52.0,48.0,13.0,181.27,13.5,18.1321668,74.0973392
VEER DAM,579.85,579.67,0.266,0.261,2022-08-18,98.0,95.0,87.0,181.27,13.5,18.1321668,74.0973392
VEER DAM,579.85,579.85,0.266,0.266,2022-08-25,100.0,95.0,85.0,181.27,13.5,18.1321668,74.0973392
VEER DAM,579.85,576.41,0.266,0.169,2023-09-06,64.0,100.0,89.0,181.3,13.5,18.1321668,74.0973392
VEER DAM,57,0.85,0.266,0.266,2022-11-10,100.0,5.0,80.0,181.27,13.5,18.1321668,74.0973392
VEER DAM,579.85,574.61,0.266,0.13,2023-05-04,49.0,50.0,39.0,181.3,13.5,18.1321668,74.0973392
VEER DAM,579.85,574.34,0.266,0.125,2024-01-04,47.0,53.0,55.0,181.3,13.5,18.1321668,74.0973392
VEER DAM,579.85,576.25,0.266,0.166,2023-10-18,62.0,100.0,89.0,181.3,13.5,18.1321668,74.0973392
VEER DAM,579.85,573.57,0.266,0.111,2022-06-23,42.0,40.0,13.0,181.27,13.5,18.1321668,74.0973392
VEER DAM,579.85,574.4,0.266,0.126,2024-03-14,47.0,58.0,50.0,181.3,13.5,18.1321668,74.0973392
VEER DAM,579.85,574.15,0.266,0.122,2024-03-28,46.0,64.0,50.0,181.3,13.5,18.1321668,74.0973392
VEER DAM,579.85,576.13,0.266,0.163,2023-12-21,61.0,54.0,62.0,181.3,13.5,18.1321668,74.0973392
VEER DAM,579.85,575.31,0.266,0.145,2024-01-11,55.0,64.0,55.0,181.3,13.5,18.1321668,74.0973392
VEER DAM,579.85,573.82,0.266,0.115,2023-05-11,43.0,50.0,34.0,181.27,13.5,18.1321668,74.0973392
VEER DAM,579.85,576.47,0.266,0.171,2022-03-17,64.0,56.0,45.0,181.27,13.5,18.1321668,74.0973392
VEER DAM,579.85,573.12,0.266,0.103,2024-04-25,39.0,48.0,45.0,181.3,13.5,18.1321668,74.0973392
VEER DAM,579.85,579.85,0.266,0.266,2022-11-17,100.0,95.0,76.0,181.27,13.5,18.1321668,74.0973392
VEER DAM,57.0,0.85,0.266,0.266,2022-11-03,100.0,5.0,84.0,181.27,13.5,18.1321668,74.0973392
VEER DAM,579.85,575.22,0.266,0.143,2023-09-27,54.0,100.0,91.0,181.3,13.5,18.1321668,74.0973392
VEER DAM,579.85,577.75,0.266,0.204,2022-01-06,77.0,54.0,52.0,18.27,13.5,18.1321668,74.0973392
VEER DAM,579.85,576.74,0.266,0.178,2022-01-13,67.0,53.0,51.0,18.27,13.5,18.1321668,74.0973392
VEER DAM,579.85,576.41,0.266,0.169,2023-09-06,64.0,100.0,89.0,181.3,13.5,18.1321668,74.0973392
VEER DAM,579.85,574.15,0.266,0.122,2024-04-18,46.0,51.0,48.0,181.3,13.5,18.1321668,74.0973392
VEER DAM,579.85,576.44,0.266,0.17,2023-02-09,64.0,57.0,51.0,181.27,13.5,18.1321668,74.0973392
VEER DAM,579.85,576.22,0.266,0.165,2023-02-23,62.0,57.0,52.0,181.27,13.5,18.1321668,74.0973392
VEER DAM,579.85,574.79,0.266,0.134,2024-03-07,50.0,59.0,52.0,181.3,13.5,18.1321668,74.0973392
VEER DAM,579.85,569.85,0.266,0.058,2023-07-13,22.0,80.0,41.0,181.3,13.5,18.1321668,74.0973392
VEER DAM,579.85,573.33,0.266,0.107,2022-06-30,40.0,41.0,17.0,181.27,13.5,18.1321668,74.0973392
VEER DAM,579.85,567.75,0.266,0.036,2023-07-06,14.0,33.0,26.0,181.3,13.5,18.1321668,74.0973392
VEER DAM,579.85,577.38,0.266,0.194,2023-08-24,73.0,100.0,87.0,181.3,13.5,18.1321668,74.0973392
VEER DAM,579.85,575.28,0.266,0.144,2022-12-22,54.0,95.0,61.0,181.3,13.5,18.1321668,74.0973392
VEER DAM,579.85,574.76,0.266,0.133,2022-05-12,50.0,56.0,30.0,181.27,13.5,18.1321668,74.0973392
VEER DAM,579.85,570.46,0.266,0.077,2023-06-08,29.0,52.0,18.0,181.3,13.5,18.1321668,74.0973392
VEER DAM,579.85,577.23,0.266,0.19,2023-08-31,71.0,100.0,89.0,181.3,13.5,18.1321668,74.0973392
VEER DAM,57,0.85,0.266,0.266,2022-10-27,100.0,5.0,86,181.27,13.5,18.1321668,74.0973392
VEER DAM,579.85,574.58,0.266,0.129,2024-02-08,48.0,64.0,54.0,181.3,13.5,18.1321668,74.0973392
