NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
WATRAK,136.25,134.64,0.154,0.096,2020-12-17,62,82,46,22.98,0.0,22.8808558,72.8443966219031
WATRAK,136.25,132.22,0.154,0.052,2021-03-25,34,56,29,22.98,0.0,22.8808558,72.8443966219031
WATRAK,136.25,135.27,0.154,0.11,2020-02-06,71,14,45,22.977,0.0,22.8808558,72.8443966219031
WATRAK,136.25,133.91,0.154,0.081,2023-10-26,53.0,86.0,75.0,22.98,0.0,22.8808558,72.8443966219031
WATRAK,136.25,132.15,0.154,0.051,2021-11-24,33.0,70.0,66.0,22.977,0.0,22.8808558,72.8443966219031
WATRAK,136.25,126.75,0.154,0.002,2022-06-09,1.0,19.0,28.0,22.977,0.0,22.8808558,72.8443966219031
WATRAK,136.25,131.95,0.154,0.048,2022-08-18,31.0,16.0,47.0,22.977,0.0,22.8808558,72.8443966219031
WATRAK,136.25,132.35,0.154,0.054,2021-11-17,35.0,71.0,62.0,22.977,0.0,22.8808558,72.8443966219031
WATRAK,136.25,134.22,0.154,0.087,2022-08-25,56.0,16.0,52.0,22.977,0.0,22.8808558,72.8443966219031
WATRAK,136.25,132.43,0.154,0.056,2023-09-06,36.0,69.0,58.0,22.98,0.0,22.8808558,72.8443966219031
WATRAK,136.25,132.0,0.154,0.049,2020-07-23,32,2,25,22.977,0.0,22.8808558,72.8443966219031
WATRAK,136.25,136.0,0.154,0.13,2022-11-10,84.0,37.0,67.0,22.,77.0,22.8808558,72.8443966219031
WATRAK,136.25,133.82,0.154,0.079,2021-01-21,51,73,37,22.98,0.0,22.8808558,72.8443966219031
WATRAK,136.25,130.06,0.154,0.026,2021-08-05,17,31,39,22.98,0.0,22.8808558,72.8443966219031
WATRAK,136.25,132.34,0.154,0.054,2021-03-18,35,59,22,22.98,0.0,22.8808558,72.8443966219031
WATRAK,136.25,132.33,0.154,0.054,2023-05-04,35.0,4.0,24.0,22.98,0.0,22.8808558,72.8443966219031
WATRAK,136.25,132.91,0.154,0.063,2024-01-03,41.0,69.0,61.0,22.98,0.0,22.8808558,72.8443966219031
WATRAK,136.25,135.49,0.154,0.116,2020-09-24,75,76,73,23,0.0,22.8808558,72.8443966219031
WATRAK,136.25,132.0,0.154,0.049,2020-07-09,32,1,19,22.98,0.0,22.8808558,72.8443966219031
WATRAK,136.25,133.92,0.154,0.081,2023-10-19,53.0,86.0,73.0,22.98,0.0,22.8808558,72.8443966219031
WATRAK,136.25,126.57,0.154,0.001,2022-06-23,1.0,19.0,25.0,22.977,0.0,22.8808558,72.8443966219031
WATRAK,136.25,130.39,0.154,0.029,2021-06-17,19,34,22,22.98,0.0,22.8808558,72.8443966219031
WATRAK,136.25,130.55,0.154,0.03,2021-06-03,19,34,24,22.98,0.0,22.8808558,72.8443966219031
WATRAK,136.25,130.02,0.154,0.025,2021-08-12,16,33,47,22.98,0.0,22.8808558,72.8443966219031
WATRAK,136.25,131.0,0.154,0.036,2024-03-14,23.0,46.0,37.0,22.98,0.0,22.8808558,72.8443966219031
WATRAK,136.25,130.71,0.154,0.033,2024-03-28,21.0,45.0,34.0,22.98,0.0,22.8808558,72.8443966219031
WATRAK,136.25,133.16,0.154,0.067,2023-12-21,44.0,71.0,53.0,22.98,0.0,22.8808558,72.8443966219031
WATRAK,136.25,132.74,0.154,0.06,2024-01-11,39.0,67.0,48.0,22.98,0.0,22.8808558,72.8443966219031
WATRAK,136.25,132.19,0.154,0.052,2023-05-11,34.0,3.0,23.0,22.977,0.0,22.8808558,72.8443966219031
WATRAK,136.25,128.0,0.154,0.009,2019-08-14,6,29,53,22.98,0,22.8808558,72.8443966219031
WATRAK,136.25,128.59,0.154,0.013,2022-03-16,8.0,36.0,41.0,22.977,0.0,22.8808558,72.8443966219031
WATRAK,136.25,136.25,0.154,0.154,2019-11-20,100,33,54,22.98,0.0,22.8808558,72.8443966219031
WATRAK,136.25,132.67,0.154,0.059,2020-05-21,38,1,14,22.977,0.0,22.8808558,72.8443966219031
WATRAK,136.25,129.7,0.154,0.022,2024-04-25,14.0,38.0,29.0,22.98,0.0,22.8808558,72.8443966219031
WATRAK,136.25,131.99,0.154,0.049,2020-07-30,32,2,33,22.977,0.0,22.8808558,72.8443966219031
WATRAK,136.25,136.05,0.154,0.129,2022-11-17,84.0,35.0,55.0,22.977,0.0,22.8808558,72.8443966219031
WATRAK,136.25,136.13,0.154,0.131,2022-11-03,85.0,37.0,66.0,22.,77.0,22.8808558,72.8443966219031
WATRAK,136.25,133.79,0.154,0.079,2023-09-29,51.0,84.0,73.0,22.98,0.0,22.8808558,72.8443966219031
WATRAK,136.25,131.05,0.154,0.037,2022-01-05,24.0,56.0,47.0,22.977,0.0,22.8808558,72.8443966219031
WATRAK,136.25,130.83,0.154,0.034,2022-01-12,22.0,55.0,57.0,22.977,0.0,22.8808558,72.8443966219031
WATRAK,136.25,135.55,0.154,0.117,2020-10-01,76,88,75,22.977,0.0,22.8808558,72.8443966219031
