NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
YELDARI,461.77,454.68,0.809,0.25,2016-10-27,31,15,55,78,-,19.7177676,76.7376029
YELDARI,461.77,461.66,0.809,0.798,2020-12-17,99,100,46,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,448.09,0.809,0.01,2015-07-22,1,39,13,78,-,19.7177676,76.7376029
YELDARI,461.77,450.46,0.809,0.076,2018-10-02,9,12,42,78,-,19.7177676,76.7376029
YELDARI,461.77,448.35,0.809,0.017,2017-06-08,2,0,10,78,-,19.7177676,76.7376029
YELDARI,461.77,459.22,0.809,0.563,2021-03-25,70,83,27,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,461.45,0.809,0.777,2020-02-06,96,0,26,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,449.01,0.809,0.036,2017-08-31,4,10,31,78,-,19.7177676,76.7376029
YELDARI,461.77,458.47,0.809,0.499,2023-10-26,62.0,100.0,53.0,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,447.29,0.809,0.0,2016-05-11,0,8,12,78,-,19.7177676,76.7376029
YELDARI,461.77,447.16,0.809,0.0,2018-05-31,0,1,9,78,-,19.7177676,76.7376029
YELDARI,461.77,454.2,0.809,0.224,2016-12-22,28,7,40,78,-,19.7177676,76.7376029
YELDARI,461.77,461.77,0.809,0.809,2021-11-25,100.0,100.0,49.0,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,457.69,0.809,0.44,2022-06-09,54.0,53.0,18.0,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,460.76,0.809,0.708,2022-08-17,88.0,75.0,30.0,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,461.77,0.809,0.809,2021-11-18,100.0,100.0,50.0,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,460.96,0.809,0.728,2022-08-25,90.0,85.0,31.0,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,458.28,0.809,0.485,2023-09-04,60.0,94.0,43.0,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,447.24,0.809,0.0,2018-05-23,0,1,9,78,-,19.7177676,76.7376029
YELDARI,461.77,458.81,0.809,0.526,2020-07-23,65,0,10,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,450.93,0.809,0.09,2015-12-03,11,47,54,78,-,19.7177676,76.7376029
YELDARI,461.77,461.77,0.8,0.8,2022-11-10,100.0,100.0,53.0,78,0.0,19.7177676,76.7376029
YELDARI,461.77,460.6,0.809,0.692,2021-01-20,86,99,39,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,459.64,0.809,0.601,2021-08-05,74,90,26,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,449.76,0.809,0.057,2015-12-17,7,40,52,78,-,19.7177676,76.7376029
YELDARI,461.77,459.25,0.809,0.566,2021-03-18,70,84,29,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,448.88,0.809,0.032,2017-08-23,4,9,24,78,-,19.7177676,76.7376029
YELDARI,461.77,450.46,0.809,0.076,2018-10-08,9,12,44,78,-,19.7177676,76.7376029
YELDARI,461.77,458.12,0.809,0.473,2023-05-04,58.0,57.0,26.0,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,458.09,0.809,0.47,2024-01-04,58.0,96.0,56.0,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,447.65,0.809,0.0,2016-07-27,0,1,16,78,-,19.7177676,76.7376029
YELDARI,461.77,446.75,0.809,0.0,2016-07-13,0,1,12,78,-,19.7177676,76.7376029
YELDARI,461.77,461.76,0.809,0.808,2020-09-24,100,3,39,78,0.0,19.7177676,76.7376029
YELDARI,461.77,458.63,0.809,0.514,2020-07-08,64,0,9,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,449.41,0.809,0.047,2016-02-17,6,22,34,78,-,19.7177676,76.7376029
YELDARI,461.77,458.51,0.809,0.503,2023-10-17,62.0,100.0,54.0,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,447.49,0.809,0.0,2016-05-05,0,10,14,78,-,19.7177676,76.7376029
YELDARI,461.77,446.03,0.809,0.0,2019-04-11,0,0,17,78,-,19.7177676,76.7376029
YELDARI,461.77,457.62,0.809,0.435,2022-06-23,54.0,55.0,18.0,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,454.35,0.809,0.232,2016-12-07,29,10,49,78,-,19.7177676,76.7376029
YELDARI,461.77,446.11,0.809,0.0,2019-04-03,0,0,16,78,-,19.7177676,76.7376029
YELDARI,461.77,457.75,0.809,0.445,2021-06-17,55,60,14,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,457.51,0.809,0.426,2021-06-03,53,61,15,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,450.25,0.809,0.071,2017-04-27,9,0,15,78,-,19.7177676,76.7376029
YELDARI,461.77,449.37,0.809,0.046,2016-02-24,6,22,33,78,-,19.7177676,76.7376029
YELDARI,461.77,459.64,0.809,0.601,2021-08-12,74,97,27,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,456.08,0.809,0.33,2024-03-14,41.0,72.0,42.0,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,455.98,0.809,0.323,2024-03-28,40.0,69.0,39.0,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,448.56,0.809,0.023,2017-06-22,3,0,10,78,-,19.7177676,76.7376029
YELDARI,461.77,458.16,0.809,0.476,2023-12-21,59.0,100.0,54.0,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,458.05,0.809,0.468,2024-01-11,58.0,92.0,54.0,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,458.11,0.809,0.472,2023-05-11,58.0,56.0,24.0,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,448.16,0.809,0.012,2015-07-08,1,39,12,78,-,19.7177676,76.7376029
YELDARI,461.77,451.57,0.809,0.114,2015-09-29,14,65,58,78,-,19.7177676,76.7376029
YELDARI,461.77,446.73,0.809,0.0,2019-01-23,0,5,31,78,-,19.7177676,76.7376029
YELDARI,461.77,446.4,0.809,0.0,2019-08-14,0,0,19,78,-,19.7177676,76.7376029
YELDARI,461.77,451.53,0.809,0.112,2017-11-02,14,31,48,78,-,19.7177676,76.7376029
YELDARI,461.77,451.48,0.809,0.11,2017-11-15,14,30,46,78,-,19.7177676,76.7376029
YELDARI,461.77,459.54,0.809,0.592,2022-03-17,73.0,70.0,32.0,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,461.77,0.809,0.809,2019-11-21,100,9,40,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,458.48,0.809,0.501,2020-05-21,62,0,9,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,451.76,0.809,0.122,2015-10-29,15,60,59,78,-,19.7177676,76.7376029
YELDARI,461.77,451.77,0.809,0.122,2015-10-14,15,60,59,78,-,19.7177676,76.7376029
YELDARI,461.77,450.13,0.809,0.067,2018-12-13,8,13,39,78,-,19.7177676,76.7376029
YELDARI,461.77,454.58,0.809,0.245,2024-04-24,30.0,58.0,33.0,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,459.91,0.809,0.626,2020-07-30,77,0,14,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,461.77,0.809,0.809,2022-11-17,100.0,100.0,52.0,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,450.73,0.809,0.084,2017-03-16,10,6,26,78,-,19.7177676,76.7376029
YELDARI,461.77,452.34,0.809,0.146,2017-03-02,18,6,29,78,-,19.7177676,76.7376029
YELDARI,461.77,450.32,0.809,0.072,2015-12-09,9,45,52,78,-,19.7177676,76.7376029
YELDARI,461.77,461.77,0.8,0.8,2022-11-03,100.0,100.0,51.0,78,0.0,19.7177676,76.7376029
YELDARI,461.77,458.5,0.809,0.502,2023-09-27,62.0,100.0,51.0,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,461.59,0.809,0.791,2022-01-06,98.0,93.0,41.0,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,461.33,0.809,0.764,2022-01-13,94.0,89.0,40.0,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,461.77,0.809,0.809,2020-10-01,100,7,41,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,458.44,0.809,0.497,2023-09-14,61.0,100.0,47.0,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,461.77,0.809,0.809,2020-10-15,100,12,43,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,461.77,0.809,0.809,2020-10-29,100,50,47,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,446.19,0.809,0.0,2019-03-20,0,3,20,78,-,19.7177676,76.7376029
YELDARI,461.77,457.54,0.809,0.429,2021-05-27,53,61,15,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,454.59,0.809,0.245,2024-04-18,30.0,62.0,35.0,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,450.16,0.809,0.068,2018-12-06,8,13,40,78,-,19.7177676,76.7376029
YELDARI,461.77,450.98,0.809,0.091,2016-09-15,11,4,48,78,-,19.7177676,76.7376029
YELDARI,461.77,453.89,0.809,0.211,2017-01-12,26,7,41,78,-,19.7177676,76.7376029
YELDARI,461.77,450.51,0.809,0.078,2016-09-01,10,3,40,78,-,19.7177676,76.7376029
YELDARI,461.77,452.06,0.809,0.134,2016-09-29,17,14,55,78,-,19.7177676,76.7376029
YELDARI,461.77,454.68,0.809,0.25,2016-10-20,31,15,55,78,-,19.7177676,76.7376029
YELDARI,461.77,448.06,0.809,0.009,2015-07-29,1,39,18,78,-,19.7177676,76.7376029
YELDARI,461.77,460.6,0.809,0.692,2023-02-09,86.0,87.0,40.0,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,446.77,0.809,0.0,2019-08-29,0,9,27,78,-,19.7177676,76.7376029
YELDARI,461.77,446.43,0.809,0.0,2019-01-30,0,5,29,78,-,19.7177676,76.7376029
YELDARI,461.77,450.4,0.809,0.075,2018-09-17,9,8,42,78,-,19.7177676,76.7376029
YELDARI,461.77,447.51,0.809,0.0,2018-07-18,0,3,10,78,-,19.7177676,76.7376029
YELDARI,461.77,445.47,0.809,0.0,2019-06-06,0,0,9,78,-,19.7177676,76.7376029
YELDARI,461.77,460.46,0.809,0.677,2023-02-23,84.0,86.0,38.0,78.0,0.0,19.7177676,76.7376029
YELDARI,461.77,451.48,0.809,0.11,2015-09-22,14,64,56,78,-,19.7177676,76.7376029
