NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
YELERU,86.56,86.35,0.508,0.496,2020-12-17,98,95,65,66.6,0.0,17.7392653,81.9868603
YELERU,86.56,81.05,0.508,0.24,2021-03-25,47,46,32,66.6,0.0,17.7392653,81.9868603
YELERU,86.56,83.96,0.508,0.365,2020-02-06,72,80,42,66.6,0.0,17.7392653,81.9868603
YELERU,86.56,78.12,0.508,0.147,2023-10-26,29.0,82.0,62.0,66.6,0.0,17.7392653,81.9868603
YELERU,86.56,85.8,0.508,0.464,2021-11-25,91.0,98.0,64.0,66.6,0.0,17.7392653,81.9868603
YELERU,86.56,76.97,0.508,0.114,2022-06-09,22.0,32.0,17.0,66.6,0.0,17.7392653,81.9868603
YELERU,86.56,79.48,0.508,0.189,2022-08-18,37.0,22.0,25.0,66.6,0.0,17.7392653,81.9868603
YELERU,86.56,85.51,0.508,0.448,2021-11-18,88.0,97.0,63.0,66.6,0.0,17.7392653,81.9868603
YELERU,86.56,79.48,0.508,0.189,2022-08-25,37.0,24.0,29.0,66.6,0.0,17.7392653,81.9868603
YELERU,86.56,75.2,0.508,0.066,2023-09-06,13.0,37.0,34.0,66.6,0.0,17.7392653,81.9868603
YELERU,86.56,79.9,0.508,0.204,2020-07-23,40,80,21,66.6,0.0,17.7392653,81.9868603
YELERU,86.56,84.8,0.508,0.414,2022-11-10,81.0,8.0,68.0,66.6,0.0,17.7392653,81.9868603
YELERU,86.56,85.29,0.508,0.436,2021-01-21,86,80,55,66.6,0.0,17.7392653,81.9868603
YELERU,86.56,77.61,0.508,0.132,2021-08-05,26,41,20,66.6,0.0,17.7392653,81.9868603
YELERU,86.56,81.71,0.508,0.264,2021-03-18,52,50,30,66.6,0.0,17.7392653,81.9868603
YELERU,86.56,76.72,0.508,0.106,2023-05-04,21.0,25.0,27.0,66.6,0.0,17.7392653,81.9868603
YELERU,86.56,78.96,0.508,0.173,2024-01-04,34.0,74.0,63.0,66.6,0.0,17.7392653,81.9868603
YELERU,86.56,86.0,0.508,0.476,2020-09-24,94,90,45,67,0.0,17.7392653,81.9868603
